feature,importance,operation
average_dim_81,0.0016928893356566441,average
average_dim_119,0.0016889165412757117,average
average_dim_104,0.0016883939813136153,average
average_dim_127,0.0016870816628887422,average
average_dim_106,0.0016864359386372534,average
hadamard_dim_97,0.0016838387260317365,hadamard
l1_distance_dim_95,0.0016807526385202573,l1_distance
average_dim_49,0.0016798599141792249,average
hadamard_dim_11,0.0016798444423159523,hadamard
average_dim_118,0.0016781642585656754,average
average_dim_124,0.0016770879976900843,average
average_dim_54,0.0016729186656188322,average
hadamard_dim_105,0.0016728538467871193,hadamard
average_dim_25,0.0016727405033667702,average
average_dim_112,0.001669321012000169,average
hadamard_dim_17,0.0016684037719580545,hadamard
average_dim_42,0.0016678129596165608,average
max_dim_17,0.001662105036435254,max
average_dim_77,0.0016589708255391696,average
average_dim_37,0.0016546599706529475,average
average_dim_0,0.0016524041804506179,average
l1_distance_dim_96,0.001652260226565985,l1_distance
hadamard_dim_116,0.0016518343810542108,hadamard
average_dim_45,0.0016485490399096709,average
hadamard_dim_91,0.0016467387624248342,hadamard
l1_distance_dim_2,0.0016460842650665739,l1_distance
max_dim_38,0.0016432448162098975,max
l1_distance_dim_90,0.0016427329224127356,l1_distance
average_dim_64,0.0016410903603171637,average
average_dim_46,0.0016379618267717041,average
hadamard_dim_114,0.001636920624267493,hadamard
l1_distance_dim_13,0.00163468680639178,l1_distance
l1_distance_dim_103,0.0016339333891127442,l1_distance
l1_distance_dim_48,0.0016317938213586327,l1_distance
max_dim_22,0.001629454413169139,max
hadamard_dim_4,0.001628509980513623,hadamard
average_dim_68,0.0016280649595016919,average
l1_distance_dim_30,0.0016269846466543977,l1_distance
max_dim_33,0.0016249494689364568,max
l1_distance_dim_15,0.00162434318219481,l1_distance
average_dim_66,0.0016242696648771965,average
l1_distance_dim_106,0.0016235849134229644,l1_distance
hadamard_dim_122,0.0016233745822120372,hadamard
average_dim_51,0.0016213213894092243,average
average_dim_122,0.0016206772799362292,average
max_dim_99,0.0016170000411668923,max
hadamard_dim_86,0.0016032307749468291,hadamard
l1_distance_dim_111,0.001601431077578708,l1_distance
hadamard_dim_7,0.0015981374501692419,hadamard
hadamard_dim_106,0.0015949474774908828,hadamard
average_dim_97,0.0015905761270271568,average
hadamard_dim_46,0.0015896564128277191,hadamard
l1_distance_dim_74,0.001581716792028033,l1_distance
l1_distance_dim_63,0.0015769639044057732,l1_distance
hadamard_dim_72,0.0015768080953924974,hadamard
l1_distance_dim_79,0.0015758727136739698,l1_distance
average_dim_20,0.0015756508765304186,average
average_dim_55,0.0015751541649901102,average
average_dim_109,0.0015732800199302602,average
l1_distance_dim_88,0.0015704980820521214,l1_distance
hadamard_dim_15,0.0015696185902518462,hadamard
average_dim_17,0.0015692132620246492,average
average_dim_22,0.0015682591056764353,average
l1_distance_dim_100,0.0015680914109734675,l1_distance
average_dim_88,0.0015667361591259466,average
l1_distance_dim_23,0.0015662260577606881,l1_distance
l1_distance_dim_26,0.0015634349667111365,l1_distance
hadamard_dim_121,0.0015584459851699104,hadamard
average_dim_33,0.0015555411386508303,average
average_dim_44,0.0015549938083156592,average
l1_distance_dim_86,0.00155464173413211,l1_distance
average_dim_84,0.0015543491006459805,average
average_dim_125,0.0015483615632175065,average
average_dim_39,0.0015472594187938107,average
average_dim_102,0.0015459039737575385,average
l1_distance_dim_54,0.0015394866842126842,l1_distance
l1_distance_dim_82,0.0015393323094092786,l1_distance
l1_distance_dim_64,0.0015337030539036133,l1_distance
hadamard_dim_44,0.001531666082830694,hadamard
l1_distance_dim_19,0.0015309897296907793,l1_distance
hadamard_dim_22,0.0015251372429376797,hadamard
l1_distance_dim_24,0.0015234748975999671,l1_distance
average_dim_93,0.0015223862771720689,average
max_dim_90,0.001516717823985488,max
l1_distance_dim_115,0.0015155308660912987,l1_distance
hadamard_dim_2,0.0015154037516457559,hadamard
l1_distance_dim_4,0.0015150811736934409,l1_distance
hadamard_dim_34,0.001513431025752145,hadamard
average_dim_8,0.0015122511039957001,average
l1_distance_dim_43,0.0015101242406269696,l1_distance
l1_distance_dim_104,0.0015076529535100313,l1_distance
hadamard_dim_42,0.0015023402782168554,hadamard
hadamard_dim_14,0.0015019343386939784,hadamard
l1_distance_dim_59,0.0015016557928174518,l1_distance
l1_distance_dim_32,0.0015004780619387434,l1_distance
hadamard_dim_33,0.001498511303290111,hadamard
l1_distance_dim_47,0.001498225863851664,l1_distance
l1_distance_dim_91,0.0014964774638374153,l1_distance
hadamard_dim_96,0.0014948447165283856,hadamard
l1_distance_dim_6,0.0014936649555095704,l1_distance
average_dim_96,0.0014931712081515044,average
l1_distance_dim_72,0.001490837287871214,l1_distance
hadamard_dim_112,0.0014906360667391704,hadamard
average_dim_101,0.0014878656545801628,average
l1_distance_dim_35,0.0014853291822673029,l1_distance
hadamard_dim_47,0.001483266885132222,hadamard
l1_distance_dim_41,0.0014821238268247219,l1_distance
average_dim_126,0.0014806510729280747,average
l1_distance_dim_77,0.0014775417852228587,l1_distance
l1_distance_dim_18,0.0014754136967472596,l1_distance
l1_distance_dim_101,0.0014727301014314383,l1_distance
l1_distance_dim_12,0.0014718981742760236,l1_distance
average_dim_34,0.0014716162807547398,average
average_dim_99,0.0014690721092149867,average
l1_distance_dim_1,0.0014688965726653387,l1_distance
l1_distance_dim_33,0.0014663986885832018,l1_distance
l1_distance_dim_92,0.0014625962672431278,l1_distance
l1_distance_dim_112,0.0014611914436253258,l1_distance
hadamard_dim_74,0.0014604746925514498,hadamard
hadamard_dim_41,0.0014598504663726488,hadamard
l1_distance_dim_109,0.001459225504911167,l1_distance
hadamard_dim_88,0.0014589044220133598,hadamard
l1_distance_dim_107,0.0014577968656220833,l1_distance
hadamard_dim_123,0.0014574560218543722,hadamard
l1_distance_dim_28,0.00145565122186993,l1_distance
l1_distance_dim_70,0.0014506927008163411,l1_distance
l1_distance_dim_36,0.001446541708947426,l1_distance
l1_distance_dim_39,0.0014439101622219905,l1_distance
l1_distance_dim_123,0.0014428488336285328,l1_distance
hadamard_dim_56,0.0014380877764338148,hadamard
hadamard_dim_35,0.0014349171304045508,hadamard
l1_distance_dim_89,0.001434806568925903,l1_distance
l1_distance_dim_118,0.001433756325818983,l1_distance
hadamard_dim_65,0.001430793837260236,hadamard
hadamard_dim_43,0.0014302263694685197,hadamard
